#{"t_start": 1658166201.5768535, "env_id": "Pusher-v0"}
r,l,t
-0.032017,1,7470.462
-0.110659,1,7479.851833
-0.093951,1,7488.223213
-0.139371,1,7501.244811
-0.03237,1,7516.801903
-0.008373,1,7527.806801
-0.049599,1,7540.751626
-0.02049,1,7550.132582
-0.047166,1,7562.376315
-0.030294,1,7573.409546
-0.071277,1,7584.116995
-0.023877,1,7592.911217
-0.040385,1,7601.005503
-0.092718,1,7612.790724
-0.003613,1,7621.636845
-0.058899,1,7633.290245
-0.041446,1,7641.883923
-0.135464,1,7651.867471
-0.126279,1,7659.687425
-0.05296,1,7672.29765
-0.010809,1,7680.167253
-0.055798,1,7688.909939
-0.04395,1,7697.959709
-0.014629,1,7711.057193
-0.149999,1,7725.582773
-0.083724,1,7736.751721
-0.054086,1,7749.317088
-0.063478,1,7762.742868
-0.067544,1,7771.862624
-0.027104,1,7782.174936
-0.087837,1,7795.8177
-0.012259,1,7810.436699
-0.004947,1,7820.85599
-0.091935,1,7834.952846
-0.023756,1,7843.661278
-0.001674,1,7851.481527
-0.122192,1,7864.622033
-0.00995,1,7876.800212
-0.149999,1,7886.18754
-0.130536,1,7898.834065
-0.024386,1,7903.122999
-0.032888,1,7917.104148
-0.124945,1,7933.808532
-0.147825,1,7947.199767
-0.070514,1,7956.541943
-0.02267,1,7968.912129
-0.017343,1,7983.299774
-0.00678,1,7994.415687
-0.015671,1,8006.686735
-0.092412,1,8017.707332
-0.015604,1,8032.364198
-0.037321,1,8040.574986
-0.149994,1,8052.258565
-0.069607,1,8064.642079
-0.149998,1,8073.345037
-0.126254,1,8081.900277
-0.017974,1,8091.174153
-0.110018,1,8100.891953
-0.08246,1,8113.922811
-0.112424,1,8124.298092
-0.062931,1,8135.181811
-0.120025,1,8145.117113
-0.104364,1,8149.233443
-0.058681,1,8159.095773
-0.049201,1,8168.164703
-0.13773,1,8177.128356
-0.143645,1,8184.288502
-0.009935,1,8195.535398
-0.116502,1,8203.871413
-0.047649,1,8218.185723
-0.096357,1,8229.655992
-0.03842,1,8237.886975
-0.135636,1,8250.165378
-0.112282,1,8259.595664
-0.052864,1,8267.254654
-0.068937,1,8276.209494
-0.075994,1,8285.755843
-0.059242,1,8296.107617
-0.040851,1,8308.800099
-0.135222,1,8316.630179
-0.131666,1,8325.468048
-0.001077,1,8334.305669
-0.03484,1,8344.423679
-0.081422,1,8354.177928
-0.063906,1,8364.821069
-0.014304,1,8376.913094
-0.008586,1,8388.6509
-0.088316,1,8400.21989
-0.04194,1,8409.350987
-0.060918,1,8420.777606
-0.077299,1,8430.05604
-0.082531,1,8438.624082
-0.052948,1,8451.347944
-0.02832,1,8466.228301
-0.026976,1,8477.838552
-0.111604,1,8489.658522
-0.031903,1,8504.83875
-0.009644,1,8516.024375
-0.15,1,8525.766047
-0.015109,1,8539.139341
-0.036716,1,8548.682278
-0.060859,1,8560.309906
-0.024961,1,8570.780251
-0.150007,1,8582.423512
-0.021195,1,8591.065744
-0.101064,1,8599.615629
-0.083209,1,8604.614131
-0.012247,1,8616.157558
-0.014023,1,8626.677074
-0.079692,1,8640.915773
-0.086077,1,8648.563022
-0.059189,1,8657.08395
-0.05297,1,8670.676082
-0.025983,1,8681.656322
-0.05188,1,8690.483399
-0.101028,1,8702.275654
-0.010039,1,8712.826436
-0.124608,1,8721.231741
-0.064652,1,8729.050322
-0.073452,1,8740.67258
-0.053555,1,8749.428441
-0.018928,1,8761.264602
-0.010298,1,8777.106282
-0.065308,1,8789.75015
-0.10835,1,8798.126785
-0.059762,1,8806.786358
-0.118118,1,8811.211994
-0.045131,1,8823.2981
-0.071035,1,8833.714788
-0.119583,1,8841.302043
-0.051021,1,8851.942579
-0.054713,1,8860.856087
-0.058168,1,8865.763108
-0.070548,1,8877.410959
-0.149773,1,8885.827655
-0.021929,1,8897.321756
-0.092237,1,8905.96817
-0.026008,1,8920.019839
-0.040518,1,8931.197459
-0.061161,1,8942.221792
-0.126515,1,8956.250149
-0.133433,1,8964.518673
-0.077258,1,8975.834153
-0.098954,1,8988.133766
-0.027014,1,8999.170096
-0.021136,1,9011.976835
-0.134811,1,9022.951401
-0.036906,1,9031.651843
-0.003529,1,9043.857123
-0.061687,1,9053.945847
-0.063723,1,9061.776088
-0.054332,1,9072.194026
-0.066661,1,9083.053693
-0.128187,1,9093.193336
-0.03085,1,9102.448936
-0.004229,1,9114.400824
-0.073697,1,9123.668898
-0.033891,1,9133.21471
-0.097921,1,9145.104526
-0.036763,1,9153.044534
-0.030296,1,9161.196201
-0.008038,1,9170.501327
-0.022325,1,9179.265099
-0.026971,1,9188.014782
-0.004639,1,9200.631373
-0.019396,1,9212.028742
-0.117753,1,9216.601731
-0.069706,1,9225.383333
-0.081607,1,9241.468318
-0.007533,1,9249.421228
-0.100716,1,9258.28295
-0.03459,1,9269.336134
-0.068088,1,9280.627899
-0.07419,1,9284.897107
-0.048625,1,9298.028678
-0.059138,1,9307.191872
-0.044598,1,9323.904696
-0.013011,1,9333.403824
-0.006723,1,9346.367476
-0.082161,1,9354.879322
-0.135802,1,9367.895329
-0.034181,1,9376.769159
-0.142016,1,9384.600374
-0.010991,1,9396.178109
-0.050587,1,9413.165447
-0.02269,1,9427.882948
-0.006076,1,9440.166536
-0.01563,1,9454.319318
-0.022481,1,9467.041241
-0.016673,1,9477.722711
-0.002273,1,9486.986333
-0.024904,1,9496.048114
-0.073148,1,9508.730962
-0.08325,1,9518.100891
-0.024924,1,9533.614764
-0.140811,1,9541.355754
-0.111126,1,9550.768605
-0.150003,1,9558.614951
-0.014526,1,9567.419766
-0.005601,1,9576.716849
-0.150005,1,9584.546273
-0.129163,1,9594.784707
-0.015729,1,9606.577555
-0.090643,1,9619.697061
-0.12362,1,9630.913207
-0.023333,1,9639.509394
-0.065388,1,9648.84009
-0.117432,1,9660.933657
-0.002974,1,9672.332372
-0.009965,1,9685.626112
-0.081175,1,9696.507774
-0.102052,1,9708.269275
-0.066575,1,9718.764179
-0.137531,1,9726.213793
-0.068018,1,9735.141898
-0.003723,1,9745.600598
-0.149999,1,9756.970839
-0.023924,1,9767.889368
-0.145561,1,9778.449562
-0.010405,1,9791.152966
-0.015939,1,9801.933123
-0.120778,1,9812.277787
-0.149999,1,9822.107684
-0.004043,1,9832.893835
-0.15001,1,9842.652449
-0.011496,1,9853.509537
-0.056717,1,9863.126952
-0.001438,1,9872.104668
-0.001247,1,9885.270626
-0.045843,1,9893.138469
-0.07157,1,9902.014872
-0.015216,1,9912.716965
-0.068764,1,9927.239367
-0.058747,1,9941.013228
-0.000952,1,9951.365205
-0.050226,1,9963.038481
-0.013916,1,9974.564378
-0.073154,1,9988.558305
-0.13701,1,10000.810574
-0.05631,1,10009.722387
-0.053882,1,10020.519719
-0.04078,1,10042.190769
-0.023098,1,10050.919525
-0.030842,1,10059.044698
-0.061001,1,10068.242596
-0.140899,1,10082.341173
-0.094086,1,10090.590956
-0.012357,1,10102.576916
-0.036486,1,10111.608932
-0.110138,1,10119.956004
-0.061255,1,10131.77268
-0.061609,1,10136.532144
-0.027595,1,10147.666633
-0.09918,1,10160.924066
-0.075816,1,10168.972034
-0.035372,1,10182.078176
-0.005346,1,10190.293689
-0.002229,1,10198.020673
-0.052616,1,10205.648144
-0.039976,1,10214.541507
-0.126258,1,10223.254512
-0.031561,1,10235.840064
-0.025399,1,10245.504375
-0.149997,1,10253.537621
-0.028122,1,10265.962679
-0.036877,1,10279.77948
-0.065379,1,10291.615952
-0.127429,1,10302.047462
-0.053905,1,10313.956148
-0.08487,1,10323.628942
-0.15,1,10328.358192
-0.074503,1,10347.135166
-0.08198,1,10359.207045
-0.15001,1,10373.143221
-0.007311,1,10377.312019
