#{"t_start": 1659809486.244296, "env_id": "Pusher-v1"}
r,l,t
-0.115857,1,3975.942856
-0.181927,1,3991.239177
-0.115722,1,4004.690029
-0.054593,1,4016.143813
-0.174865,1,4025.587378
-0.225948,1,4035.538065
-0.115469,1,4050.440209
-0.030751,1,4060.744185
-0.087824,1,4073.998409
-0.149605,1,4086.029059
-0.21136,1,4096.379338
-0.202737,1,4106.777579
-0.13595,1,4115.603514
-0.102082,1,4125.226687
-0.03803,1,4134.370289
-0.072168,1,4140.363451
-0.168954,1,4150.993537
-0.086845,1,4163.242752
-0.144127,1,4174.407545
-0.14201,1,4184.352752
-0.199648,1,4193.8293
-0.215018,1,4204.197545
-0.191356,1,4218.485829
-0.107891,1,4228.261449
-0.06127,1,4239.570347
-0.171285,1,4253.771554
-0.151427,1,4265.274791
-0.076655,1,4278.889527
-0.145937,1,4289.257068
-0.16337,1,4303.246366
-0.074045,1,4312.629197
-0.062894,1,4322.53493
-0.151557,1,4335.850273
-0.093249,1,4348.570059
-0.095478,1,4362.008673
-0.147238,1,4371.431994
-0.15409,1,4381.874157
-0.140994,1,4394.035015
-0.081751,1,4408.473398
-0.167532,1,4420.299247
-0.234483,1,4430.029464
-0.128729,1,4438.246158
-0.044279,1,4451.763782
-0.09274,1,4461.576762
-0.174753,1,4470.609465
-0.153216,1,4481.757984
-0.096592,1,4492.884246
-0.109346,1,4503.596718
-0.144794,1,4514.82572
-0.207797,1,4527.969633
-0.16123,1,4545.617637
-0.07344,1,4556.70394
-0.082025,1,4567.792675
-0.174341,1,4584.000035
-0.162797,1,4597.168804
-0.176654,1,4609.801729
-0.211205,1,4622.350673
-0.090757,1,4637.296154
-0.037436,1,4650.795827
-0.217328,1,4664.942128
-0.115491,1,4678.844466
-0.151547,1,4691.329787
-0.159832,1,4697.215561
-0.174799,1,4708.225447
-0.089473,1,4717.377947
-0.169953,1,4728.831248
-0.052863,1,4742.10219
-0.236117,1,4755.801753
-0.036345,1,4767.4517
-0.153147,1,4777.460401
-0.16416,1,4789.988283
-0.071448,1,4802.989027
-0.175395,1,4810.972353
-0.167334,1,4819.849591
-0.093759,1,4832.109621
-0.067716,1,4840.580176
-0.141866,1,4849.401172
-0.142628,1,4859.150084
-0.137549,1,4871.193542
-0.154862,1,4881.624656
-0.209323,1,4889.876509
-0.046418,1,4900.737934
-0.161794,1,4910.194604
-0.178892,1,4919.487619
-0.152125,1,4931.418853
-0.135013,1,4944.134875
-0.132238,1,4953.287977
-0.156453,1,4963.874861
-0.163081,1,4974.54372
-0.134898,1,4984.517988
-0.144375,1,4995.570619
-0.153356,1,5001.968387
-0.11056,1,5015.92983
-0.128783,1,5025.66656
-0.114207,1,5041.07478
-0.131678,1,5050.671242
-0.095612,1,5063.426678
-0.184829,1,5075.521348
-0.11651,1,5086.546916
-0.156684,1,5096.370564
-0.230273,1,5105.659823
-0.091505,1,5115.024271
-0.08479,1,5127.442897
-0.138256,1,5137.260011
-0.084567,1,5151.621934
-0.18943,1,5163.635451
-0.085181,1,5175.65584
-0.1264,1,5185.723209
-0.185209,1,5196.078807
-0.136781,1,5206.971345
-0.102362,1,5218.565046
-0.120992,1,5227.53432
-0.226432,1,5236.540269
-0.143311,1,5246.353377
-0.119624,1,5262.399896
-0.124905,1,5273.477615
-0.11906,1,5284.711171
-0.049637,1,5295.350432
-0.110816,1,5305.082272
-0.113769,1,5316.193923
-0.028418,1,5326.266403
-0.163074,1,5339.566138
-0.148794,1,5349.900835
-0.052446,1,5360.414497
-0.102464,1,5371.503752
-0.092463,1,5380.612514
-0.116,1,5386.726748
-0.149886,1,5395.987933
-0.057327,1,5405.96532
-0.264631,1,5417.152032
-0.123041,1,5429.618416
-0.129748,1,5441.225422
-0.121239,1,5455.044107
-0.048644,1,5464.644068
-0.144642,1,5476.979597
-0.103358,1,5487.848013
-0.089808,1,5498.855284
-0.105326,1,5509.675139
-0.073575,1,5523.247572
