#{"t_start": 1660571251.3926332, "env_id": "Pusher-v1"}
r,l,t
-0.092129,1,5273.085763
-0.173699,1,5279.41809
-0.124622,1,5290.603324
-0.153206,1,5305.758698
-0.185681,1,5319.418494
-0.160872,1,5335.508801
-0.128617,1,5348.114767
-0.04837,1,5362.124224
-0.066499,1,5376.167509
-0.073713,1,5389.99382
-0.083408,1,5397.011111
-0.153957,1,5415.147942
-0.169661,1,5427.007826
-0.081328,1,5445.731459
-0.126743,1,5459.890493
-0.21317,1,5472.176498
-0.193489,1,5482.008597
-0.116891,1,5488.657616
-0.184999,1,5503.23754
-0.141145,1,5513.708573
-0.153496,1,5533.630995
-0.21478,1,5546.0301
-0.0739,1,5565.858722
-0.042382,1,5584.294567
-0.181098,1,5595.863513
-0.125876,1,5613.833766
-0.083241,1,5630.477128
-0.132201,1,5647.753082
-0.056206,1,5660.900627
-0.100052,1,5682.524614
-0.147775,1,5699.731366
-0.067064,1,5714.544101
-0.164883,1,5727.017955
-0.12316,1,5743.442888
-0.075046,1,5753.629785
-0.129542,1,5769.349701
-0.052325,1,5786.615192
-0.073236,1,5811.200772
-0.191274,1,5826.199616
-0.1286,1,5841.655463
-0.05216,1,5856.426565
-0.21778,1,5869.232291
-0.196893,1,5887.560305
-0.198082,1,5899.97467
-0.054607,1,5914.667738
-0.084911,1,5930.156059
-0.152812,1,5945.379183
-0.171316,1,5960.314987
-0.173006,1,5976.333964
-0.137232,1,5991.420646
-0.107492,1,6008.277203
-0.125032,1,6020.513224
-0.069003,1,6036.086602
-0.094443,1,6048.362091
-0.058366,1,6058.544449
-0.245779,1,6070.845757
-0.163833,1,6084.740997
-0.157108,1,6099.453178
-0.061377,1,6116.137766
-0.117653,1,6133.102068
-0.104839,1,6146.150655
-0.120332,1,6156.651254
-0.139252,1,6167.493868
-0.14654,1,6183.522
-0.103718,1,6198.251925
-0.175211,1,6213.432142
-0.093853,1,6228.949744
-0.133313,1,6240.807647
-0.124361,1,6251.489369
-0.094886,1,6266.522128
-0.145989,1,6281.078895
-0.071619,1,6296.219859
-0.08983,1,6311.167341
-0.154355,1,6325.017924
-0.163724,1,6344.336266
-0.175449,1,6358.850473
-0.063165,1,6375.085827
-0.228582,1,6387.822319
-0.127723,1,6403.485948
-0.206396,1,6419.721829
-0.245506,1,6427.517748
-0.069778,1,6437.421128
-0.23071,1,6458.124871
-0.23451,1,6473.719566
-0.117061,1,6487.526569
-0.214421,1,6500.861758
-0.169891,1,6512.721828
-0.120458,1,6526.650411
-0.030782,1,6542.335638
-0.119013,1,6553.603318
-0.17236,1,6567.228982
-0.15158,1,6581.95486
-0.105158,1,6599.227848
-0.118209,1,6618.4953
-0.165815,1,6635.461151
-0.059559,1,6648.833553
-0.239586,1,6665.093773
-0.098031,1,6677.697945
-0.149601,1,6687.319461
-0.106704,1,6700.006557
-0.195096,1,6717.986772
-0.042254,1,6730.028718
-0.190214,1,6743.4593
-0.125245,1,6755.832034
-0.102169,1,6768.173203
-0.103655,1,6778.754156
-0.16242,1,6798.036237
-0.214868,1,6809.464626
-0.188382,1,6817.130762
-0.044955,1,6825.834743
-0.091726,1,6838.60347
-0.147122,1,6854.75256
-0.223402,1,6865.37
-0.175057,1,6878.177423
-0.15588,1,6893.667275
-0.173133,1,6907.072416
-0.21683,1,6922.405918
-0.181801,1,6942.127948
-0.216439,1,6957.034489
-0.096449,1,6967.142521
-0.14976,1,6982.693533
-0.228202,1,6998.60685
-0.151087,1,7011.452996
-0.086537,1,7026.653541
-0.194864,1,7041.911635
-0.063276,1,7056.576164
-0.063771,1,7066.097305
-0.136811,1,7077.696405
-0.164919,1,7091.544094
-0.101561,1,7107.129202
-0.077944,1,7120.786824
-0.195999,1,7131.380234
-0.216706,1,7142.314024
-0.057309,1,7160.695985
-0.13564,1,7180.725848
-0.186068,1,7197.833723
-0.080001,1,7214.04367
-0.049272,1,7226.034215
-0.228285,1,7236.903383
-0.122184,1,7255.005259
-0.113089,1,7270.969983
-0.048896,1,7284.130023
-0.105276,1,7296.106184
-0.056292,1,7309.295988
-0.138545,1,7318.053597
-0.103551,1,7329.639488
-0.166949,1,7343.127899
-0.22225,1,7357.528493
